IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
NA	NA	1	NA	NA	NA	NA	NA	NA	NA	AusGEM_00017
C4:A-:B1	AA176	2	1	fimH97	AusGEM	2010	NA	Avian	Livestock	AusGEM_00019
C4:A-:B1	AA319	3	1	fimH97	AusGEM	2010	NA	Avian	Livestock	AusGEM_00020
C4:A-:B1	AA176	4	1	fimH97	AusGEM	2010	NA	Avian	Livestock	AusGEM_00022
F24:A-:B1	AA319	5	1	fimH97	AusGEM	2010	NA	Avian	Livestock	AusGEM_00024
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2011	NA	Avian	Livestock	AusGEM_00036
C4:A-:B1	AA319	3	1	fimH97	AusGEM	2011	NA	Avian	Livestock	AusGEM_00040
C4:A-:B1	AA176	6	1	fimH97	AusGEM	2012	NA	Avian	Livestock	AusGEM_00060
C4:A-:B1	AA176	6	1	fimH97	AusGEM	2012	NA	Avian	Livestock	AusGEM_00065
C4:A-:B1	AA319	3	1	fimH97	AusGEM	2012	NA	Avian	Livestock	AusGEM_00067
F24:A-:B1	AA319	7	1	fimH97	AusGEM	2012	NA	Avian	Livestock	AusGEM_00068
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2013	NA	Avian	Livestock	AusGEM_00074
C5?*:A-:B1	AA176	8	1	fimH97	AusGEM	2014	NA	Avian	Livestock	AusGEM_00085
F2:A-:B1	AA176	9	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00086
F40!/F2!:A-:B1	AA176	10	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00094
C4:A-:B1	AA176	11	1	fimH97	AusGEM	2007	NA	Avian	Livestock	AusGEM_00095
F40!/F2!:A-:B1	AA176	10	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00096
C4:A-:B1	AA176	12	1	fimH97	AusGEM	2007	NA	Avian	Livestock	AusGEM_00101
C4:A-:B1	AA176	6	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00104
F40/C4:A-:B1	AA176	6	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00105
C4:A-:B1	AA319	13	1	fimH97	AusGEM	2007	NA	Avian	Livestock	AusGEM_00106
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00107
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00113
F2:A-:B1	AA176	14	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00114
C4:A-:B1	AA176	6	1	fimH97	AusGEM	2008	NA	Avian	Livestock	AusGEM_00116
F24:A-:B1	AA178	15	1	fimH97	AusGEM	2009	NA	Avian	Livestock	AusGEM_00120
C4:A-:B8	AA314	16	1	fimH97	AusGEM	2015	NA	Avian	Livestock	AusGEM_00130
F24:A-:B1	AA747	17	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00139
F24:A-:B1	AA747	17	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00140
F24:A-:B1	AA747	17	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00141
F24:A-:B1	AA747	17	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00142
F29:A-:B53	AA319	18	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00180
F29!/F24!:A-:B53	AA319	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00181
F24:A-:B53	AA176	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00183
F24:A-:B53	AA176	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00184
F29!/F24!:A-:B53	AA329	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00185
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00186
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00187
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00188
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00190
F24:A-:B53	AA319	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00191
F24:A-:B53	AA176	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00192
F76!/F24!:A-:B53	novel_314e0bfb323e505198479b3d0e7ff281	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00193
F29!/F24!:A-:B53	AA319	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00202
F76!/F24!:A-:B53	AA319	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00203
F29!/F24!:A-:B53	AA176	19	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00205
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00209
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00210
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00212
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00213
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00214
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00215
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00216
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00217
F24:A-:B1	AA176	21	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00218
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00221
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00223
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00224
C4:A-:B1	AA176	20	0	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00225
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00228
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00229
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00230
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00231
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00232
F24:A-:B1	AA176	23	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00233
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00238
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00239
F24:A-:B1	AA747	22	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00240
F24:A-:B1	AA176	23	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00245
F24:A-:B1	AA176	23	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00253
F24:A-:B1	AA176	23	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00254
F24:A-:B1	AA176	23	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00255
F24:A-:B1	AA176	23	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00256
F24:A-:B1	AA176	24	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00257
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00282
F24:A-:B1	AA176	25	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00286
F24:A-:B1	AA176	25	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00287
F24:A-:B1	AA176	25	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00288
F24:A-:B1	AA747	25	1	fimH916	AusGEM	2016	NA	Avian	Livestock	AusGEM_00289
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00293
C4:A-:B1	AA747	26	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00302
C4:A-:B1	AA747	26	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00303
C4:A-:B1	AA747	26	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00305
C4:A-:B1	AA747	26	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00306
C4:A-:B1	AA747	26	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00307
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00315
F24:A-:B1	AA179	27	0	fimH97	AusGEM	2015	NA	Avian	Livestock	AusGEM_00323
C4:A-:B1	AA176	3	1	fimH97	AusGEM	2016	NA	Avian	Livestock	AusGEM_00326
C4:A-:B1	AA319	3	1	fimH97	AusGEM	2011	NA	Canine	Companion Animal	AusGEM_00393
C4:A6*:B42	AA176	28	1	fimH97	AusGEM	2011	NA	Canine	Companion Animal	AusGEM_00401
F-:A-:B-	No F Plasmid	29	0	fimH97	AusGEM	2011	NA	Canine	Companion Animal	AusGEM_00411
C4:A-:B1	AA319	3	1	fimH97	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00452
F2:A-:B1	AA176	30	1	fimH30	AusGEM	2015	NA	Canine	Companion Animal	AusGEM_00614
F-:A-:B-	No F Plasmid	31	0	fimH97	AusGEM	2014	NA	Human	Human	AusGEM_00786
C4:A6:B42	AA176	32	1	fimH97	AusGEM	2007	NA	Porcine	Livestock	AusGEM_00908
F4/C4:A6:B42	AA746	33	1	fimH97*	AusGEM	2017	NA	Porcine	Livestock	AusGEM_00929
F24!/F2!:A-:B1	AA747	34	1	fimH916	AusGEM	2006	NA	Human	Human	AusGEM_01406
F2:A-:B1	AA176	35	1	fimH30	AusGEM	2006	NA	Human	Human	AusGEM_01885
F2:A-:B1	AA176	36	1	fimH30	AusGEM	2006	NA	Human	Human	AusGEM_01903
F2:A-:B10	AA334	37	0	fimH97	MDU	2017	Swab	Human	Human	AUSMDU00008374
F2:A-:B-	AA338	38	0	fimH97	MDU	2018	Urine	Human	Human	AUSMDU00023223
C4:A6:B42	AA304	39	1	fimH97	MDU	2019	Swab	Human	Human	AUSMDU00035564
F40:A-:B1	AA176	40	1	fimH97	Enterobase	2009	ExPEC other	Avian	Livestock	SRR10065349
F40:A-:B1	AA176	40	1	fimH97	Enterobase	2009	ExPEC other	Avian	Livestock	SRR10065351
F29!/F24!:A-:B1	AA176	41	1	fimH97	Enterobase	2017	ExPEC other	Avian	Livestock	SRR10065352
F107:A-:B1	AA319	42	1	fimH151	Enterobase	2019	Unknown	Porcine	Livestock	SRR14160928
C4:A-:B1	AA176	6	1	fimH97	Enterobase	2008	Unknown	Avian	Livestock	SRR7469843
F67:A-:B1	AA314	43	0	fimH97	Enterobase	2016	Blood	Human	Human	SRR7828747
F2:A-:B1	AA176	30	1	fimH30	TEA	2011	NA	Human	Human	TEA_2H_103_1
F24:A-:B1	AA176	44	1	fimH97	TEA	2011	NA	Human	Human	TEA_2H_290_1
C4:A-:B1	AA176	3	1	fimH97	TEA	2011	NA	Human	Human	TEA_2H_434_21
C4:A-:B1	AA176	45	1	fimH97	TEA	2002	NA	Avian	Livestock	TEA_B1075
C4:A-:B1	AA178	46	1	fimH97	TEA	2011	NA	Avian	Livestock	TEA_B1932b
C5?*:A-:B1	AA747	47	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C1_119
F24:A-:B1	AA176	48	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C1_123
C4:A-:B1	AA319	3	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_100
C4:A-:B1	AA176	3	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_102
F76!/F24!:A-:B1	AA176	49	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_103
F24:A-:B1	AA176	50	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_106
F24:A-:B1	AG799	50	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_13
F40/C4:A-:B1	AA176	51	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_27
C4:A-:B8	AA314	52	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C2_97
F24:A-:B1	AA176	53	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C3_65
C4:A-:B1	AA179	54	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C3_70
F24:A-:B1	AA176	55	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C3_72
F2:A-:B1	AA176	30	1	fimH30	TEA	2013	NA	Poultry Meat	Food	TEA_C4_85
F24:A-:B1	AA319	7	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C4_86
F24:A-:B1	AA176	56	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C4_93
C4:A-:B8	AA179	52	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C4_94
C5?*:A-:B1	AA176	8	1	fimH97	TEA	2013	NA	Poultry Meat	Food	TEA_C4_95
F43*/C4:A6:B42	AA176	57	1	fimH97	TEA	2013	NA	Water	Environmental	TEA_E5261
F4/C4:A-:B40	AA176	58	1	fimH97	TEA	2001	NA	Human	Human	TEA_H030
F24:A-:B1	AA176	59	1	fimH97	TEA	2001	NA	Human	Human	TEA_H561
