IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2011	NA	Avian	Livestock	AusGEM_00043
C4:A-:B1	AA176	2	1	fimH759	AusGEM	2011	NA	Avian	Livestock	AusGEM_00054
C4:A-:B1	AA176	2	1	fimH759	AusGEM	2011	NA	Avian	Livestock	AusGEM_00056
C4:A-:B1	AA176	2	1	fimH759	AusGEM	2012	NA	Avian	Livestock	AusGEM_00063
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2013	NA	Avian	Livestock	AusGEM_00076
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2013	NA	Avian	Livestock	AusGEM_00077
C4:A-:B1	AA176	3	1	fimH759	AusGEM	2013	NA	Avian	Livestock	AusGEM_00078
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2014	NA	Avian	Livestock	AusGEM_00084
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2008	NA	Avian	Livestock	AusGEM_00109
C4:A-:B1	AA176	4	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00241
C4:A-:B1	AA176	4	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00242
C4:A-:B1	AA176	4	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00243
C4:A-:B1	AA176	4	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00244
C4:A-:B1	AA176	4	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00247
C4:A-:B1	AA178	5	1	fimH54	AusGEM	2016	NA	Avian	Livestock	AusGEM_00248
C4:A-:B1	AA178	5	1	fimH54	AusGEM	2016	NA	Avian	Livestock	AusGEM_00249
C4:A-:B1	AA176	4	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00250
C4:A-:B1	AA176	6	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00262
C4:A-:B1	AA176	7	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00263
C4:A-:B1	AA176	6	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00265
C4:A-:B1	AA176	6	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00266
