IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00273
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00274
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00275
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00276
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00277
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00278
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00279
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00281
F2:A-:B1	AA176	1	1	fimH158	AusGEM	2016	NA	Avian	Livestock	AusGEM_00283
C4:A-:B1	AA176	8	1	fimH759	AusGEM	2016	NA	Avian	Livestock	AusGEM_00285
C4:A-:B1	AA176	9	1	fimH759	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00451
C4:A-:B1	AA176	10	1	fimH759	AusGEM	2013	NA	Human	Human	AusGEM_00834
C4:A-:B1	AA176	11	1	fimH759	AusGEM	2006	NA	Human	Human	AusGEM_01119
F2:A-:B1	AA176	1	1	fimH158	Enterobase	2014	Unknown	Avian	Livestock	SRR7469846
F2:A-:B1	AA176	1	1	fimH158	Enterobase	2011	Unknown	Avian	Livestock	SRR7469904
C4:A-:B1	AA176	2	1	fimH759	Enterobase	2011	Unknown	Avian	Livestock	SRR7469914
C4:A-:B1	AA176	12	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A1_12
F2:A-:B1	AA176	1	1	fimH158	TEA	2014	NA	Poultry Meat	Food	TEA_A2_22
C4:A-:B1	AA176	13	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A3_57
C4:A-:B1	AA176	14	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A3_8
C4:A-:B1	AA176	3	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A3_9
C4:A-:B1	AA176	3	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A4_12
C4:A-:B1	AA176	15	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A4_2
C4:A-:B1	AA176	3	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A4_32
C4:A-:B1	AA176	13	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_A4_9
F-:A-:B-	No F Plasmid	16	0	fimH31	TEA	2011	NA	Avian	Livestock	TEA_B1818
C4:A-:B1	AA176	17	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C1_101
C4:A-:B1	AA176	3	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C1_102
C4:A-:B1	AA176	18	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C1_111
C4:A-:B1	AA176	19	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C2_115
C4:A-:B1	AA176	3	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C2_68
C4:A-:B1	AA176	3	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C2_94
C4:A-:B1	AA176	20	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C3_43
C4:A-:B1	AA176	3	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C4_53
C4:A-:B1	AA176	15	1	fimH759	TEA	2013	NA	Poultry Meat	Food	TEA_C4_65
C4:A-:B1	AA176	3	1	fimH759	TEA	2013	NA	Water	Environmental	TEA_E7715
F40:A-:B-	No F Plasmid	21	0	fimH25	TEA	2002	NA	Mammal	Wild Animal	TEA_M688
F34:A-:B73	AA175	22	1	fimH27	TEA	2014	NA	Poultry Meat	Food	TEA_W1_79
C4:A-:B1	AA176	3	1	fimH759	TEA	2014	NA	Poultry Meat	Food	TEA_W3_72
