IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Unknown	Human	Human	AUSMDU00008492
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Blood	Human	Human	AUSMDU00008578
F63!/F29!:A-:B10	AA337	1	0	fimH26	MDU	2017	Urine	Human	Human	AUSMDU00008579
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00008632
F29:A-:B10	AA337	1	0	fimH26	MDU	2018	Urine	Human	Human	AUSMDU00014582
F29:A-:B10	AA337	1	0	fimH26	MDU	2018	Swab	Human	Human	AUSMDU00016015
F29!/F2!:A-:B10	AA337	1	0	fimH26	MDU	2018	Urine	Human	Human	AUSMDU00018242
F29:A-:B10	AA337	1	0	fimH26	MDU	2018	Urine	Human	Human	AUSMDU00021229
F29:A-:B10	AA337	4	0	fimH26	MDU	2017	Urine	Human	Human	AUSMDU00048767
F29:A-:B10	AA337	1	0	fimH26	MDU	2020	Swab	Human	Human	AUSMDU00048962
F-:A-:B-	No F Plasmid	1	0	fimH26	MDU	2021	Urine	Human	Human	AUSMDU00062348
F-:A-:B-	No F Plasmid	1	0	fimH26	Enterobase	2014	Unknown	Human	Human	ERR5355778
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2015	Unknown	Human	Human	ERR5355920
F29:A-:B10	AA337	5	0	fimH26	Enterobase	2018	Unknown	Human	Human	SRR11094190
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2019	Unknown	Avian	Wild Animal	SRR11341637
F-:A-:B-	No F Plasmid	1	0	fimH26	Enterobase	2014	Blood	Human	Human	SRR5936474
F-:A-:B-	No F Plasmid	1	0	fimH26	Enterobase	2014	Blood	Human	Human	SRR5936475
F-:A-:B-	No F Plasmid	6	0	fimH26	Enterobase	2009	Unknown	Human	Human	SRR6455977
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2014	UTI	Human	Human	SRR6455986
F29:A-:B10	AA337	7	0	fimH26	Enterobase	2013	Unknown	Human	Human	SRR6456020
F4!/F29!:A-:B10	AA337	1	0	fimH26	Enterobase	2013	UTI	Human	Human	SRR6456021
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2013	UTI	Human	Human	SRR6456039
F45:A-:B10	AA337	1	0	fimH26	Enterobase	2014	UTI	Human	Human	SRR6456040
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2014	UTI	Human	Human	SRR6456044
F29:A-:B10	AA337	8	0	fimH26	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724590
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724605
F29:A-:B10	AA337	9	0	fimH26	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724806
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2017	Blood	Human	Human	SRR7828667
F29:A-:B10	AA337	1	0	fimH26	Enterobase	2015	Blood	Human	Human	SRR7828800
