IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F56:A-:B20	AA810	1	0	fimH26	AusGEM	2012	NA	Canine	Companion Animal	AusGEM_00456
F29:A-:B10	AA337	2	0	fimH47	AusGEM	2013	NA	Canine	Companion Animal	AusGEM_00502
F29:A-:B10	AA337	2	0	fimH47	AusGEM	2014	NA	Canine	Companion Animal	AusGEM_00559
F29:A-:B10	AA337	2	0	fimH47	AusGEM	2015	NA	Canine	Companion Animal	AusGEM_00621
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2015	NA	Canine	Companion Animal	AusGEM_00629
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2017	NA	Canine	Companion Animal	AusGEM_00677
F29:A-:B10	AA337	2	0	fimH47	AusGEM	2009	NA	Canine	Companion Animal	AusGEM_00685
F29:A-:B10	AA337	2	0	fimH47	AusGEM	2017	NA	Canine	Companion Animal	AusGEM_00691
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2017	NA	Canine	Companion Animal	AusGEM_00696
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2017	NA	Canine	Companion Animal	AusGEM_00699
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01739
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01740
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01741
F40!/F29!:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01742
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01743
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01744
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01745
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01746
F4!/F29!:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01747
F40:A-:B-	AA315	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01748
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01749
F29:A-:B10	AA747	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01750
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01751
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01752
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01753
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01754
F40!/F29!:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01755
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01756
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01757
F29:A-:B10	AA747	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01758
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01759
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01760
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01761
F34:A-:B-	AA326	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01762
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01763
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01764
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01765
F29:A-:B10	AA747	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01766
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01767
F-:A-:B-	No F Plasmid	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01768
F40!/F29!:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01769
F-:A-:B-	No F Plasmid	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01770
F24:A-:B1	AA175	3	1	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01771
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01772
F29:A-:B10	AA337	1	0	fimH26	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01773
F29:A-:B10	AA337	1	0	fimH26	MDU	2013	Unknown	Human	Human	AUSMDU00003540
F29:A-:B10	AA747	1	0	fimH26	MDU	2016	Urine	Human	Human	AUSMDU00004933
F29:A-:B10	AA337	1	0	fimH26	MDU	2014	Unknown	Human	Human	AUSMDU00005018
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Urine	Human	Human	AUSMDU00007336
F-:A-:B-	No F Plasmid	1	0	fimH26	MDU	2017	Urine	Human	Human	AUSMDU00007431
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Urine	Human	Human	AUSMDU00007444
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00007450
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00008001
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00008259
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00008263
F29!/F2!:A-:B10	AA337	1	0	fimH26	MDU	2017	Urine	Human	Human	AUSMDU00008408
F29:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00008424
F95!/F29!/F2!:A-:B10	AA337	1	0	fimH26	MDU	2017	Swab	Human	Human	AUSMDU00008435
